n,potentiometre,Pos,Deformation_z_cm,sensorValue
1,255,1,2.42,756
2,255,2,2.32,760
3,255,3,2.22,724
4,255,4,2.12,714
5,255,5,2.02,897
6,255,6,1.92,709
7,255,7,1.81,709
8,255,8,1.71,710
9,255,9,1.60,889
10,255,10,1.50,880
11,255,11,1.39,716
12,255,12,1.29,712
13,255,13,1.18,712
14,255,14,1.08,712
15,255,15,0.97,712
16,255,16,0.86,712
17,255,17,0.76,713
18,255,18,0.65,713
19,255,19,0.54,715
20,255,20,0.43,715
21,255,21,0.32,719
22,255,22,0.22,716
23,255,23,0.11,728
24,255,24,0.00,734
25,255,25,-0.11,740
26,255,26,-0.22,751
27,255,27,-0.32,754
28,255,28,-0.43,757
29,255,29,-0.54,763
30,255,30,-0.65,768
31,255,31,-0.76,774
32,255,32,-0.86,772
33,255,33,-0.97,780
34,255,34,-1.08,779
35,255,35,-1.18,782
36,255,36,-1.29,790
37,255,37,-1.39,793
38,255,38,-1.50,788
39,255,39,-1.60,793
40,255,40,-1.71,797
41,255,41,-1.81,801
42,255,42,-1.92,805
43,255,43,-2.02,804
44,255,44,-2.12,807
45,255,45,-2.22,810
46,255,46,-2.32,811
47,255,47,-2.42,810
48,255,48,-2.52,814
49,255,49,-2.62,814
50,255,50,-2.72,809
51,255,51,-2.81,807
52,255,52,-2.91,708
53,255,53,-3.01,706
54,255,54,-3.10,708
55,255,55,-3.19,705
56,255,54,6.06,707
57,255,53,6.04,709
58,255,52,6.02,708
59,255,51,5.99,711
60,255,50,5.96,709
61,255,49,5.93,712
62,255,48,5.90,710
63,255,47,5.86,708
64,255,46,5.83,707
65,255,45,5.79,708
66,255,44,5.75,707
67,255,43,5.71,711
68,255,42,5.66,706
69,255,41,5.62,708
70,255,40,5.57,707
71,255,39,5.52,708
72,255,38,5.47,709
73,255,37,5.42,705
74,255,36,5.37,704
75,255,35,5.31,705
76,255,34,5.26,706
77,255,33,5.20,709
78,255,32,5.14,706
79,255,31,5.08,705
80,255,30,5.02,707
81,255,29,4.95,706
82,255,28,4.89,708
83,255,27,4.82,706
84,255,26,4.75,705
85,255,25,4.68,705
86,255,24,4.61,691
87,255,23,4.53,687
88,255,22,4.46,665
89,255,21,4.38,648
90,255,20,4.31,641
91,255,19,4.23,623
92,255,18,4.15,610
93,255,17,4.07,608
94,255,16,3.99,603
95,255,15,3.90,597
96,255,14,3.82,590
97,255,13,3.73,595
98,255,12,3.64,582
99,255,11,3.56,585
100,255,10,3.47,584
101,255,9,3.38,580
102,255,8,3.29,578
103,255,7,3.19,574
104,255,6,3.10,573
105,255,5,3.01,572
106,255,4,2.91,575
107,255,3,2.81,574
108,255,2,2.72,575
109,255,1,2.62,576
110,255,0,2.52,583
111,255,1,2.42,571
112,255,2,2.32,574
113,255,3,2.22,575
114,255,4,2.12,580
115,255,5,2.02,579
116,255,6,1.92,582
117,255,7,1.81,584
118,255,8,1.71,584
119,255,9,1.60,587
120,255,10,1.50,589
121,255,11,1.39,593
122,255,12,1.29,594
123,255,13,1.18,598
124,255,14,1.08,596
