n,Pos,Deformation_z_cm,Rflex
1,1,2.42,81689.28
2,2,2.32,77155.90
3,3,2.22,79168.60
4,4,2.12,77552.30
5,5,2.02,80414.11
6,6,1.92,82556.40
7,7,1.81,79168.60
8,8,1.71,86168.19
9,9,1.60,76372.08
10,10,1.50,74463.33
11,11,1.39,85243.03
12,12,1.29,79168.60
13,13,1.18,78354.24
14,14,1.08,78354.24
15,15,0.97,78354.24
16,16,0.86,77552.30
17,17,0.76,73351.65
18,18,0.65,76372.08
19,19,0.54,77155.90
20,20,0.43,75600.00
21,21,0.32,77552.30
22,22,0.22,77552.30
23,23,0.11,76372.08
24,24,0.00,77155.90
25,25,-0.11,70850.36
26,26,-0.22,68803.85
27,27,-0.32,69476.42
28,28,-0.43,74839.40
29,29,-0.54,77552.30
30,30,-0.65,80835.82
31,31,-0.76,78354.24
32,32,-0.86,70503.21
33,33,-0.97,71552.16
34,34,-1.08,70850.36
35,35,-1.18,74463.33
36,36,-1.29,66205.11
37,37,-1.39,72264.14
38,38,-1.50,69138.95
39,39,-1.60,69816.26
40,40,-1.71,69816.26
41,41,-1.81,68471.09
42,42,-1.92,77552.30
43,43,-2.02,70158.51
44,44,-2.12,70158.51
45,45,-2.22,68140.64
46,46,-2.32,75984.59
47,47,-2.42,68803.85
48,48,-2.52,77552.30
49,49,-2.62,74839.40
50,50,-2.72,66205.11
51,51,-2.81,75600.00
52,52,-2.91,74839.40
53,53,-3.01,71200.00
54,54,-3.10,77155.90
55,55,-3.19,73719.49
56,54,6.06,77951.73
57,53,6.04,75218.29
58,52,6.02,76372.08
59,51,5.99,74463.33
60,50,5.96,79995.71
61,49,5.93,76372.08
62,48,5.90,75218.29
63,47,5.86,72624.00
64,46,5.83,71552.16
65,45,5.79,76372.08
66,44,5.75,70850.36
67,43,5.71,75218.29
68,42,5.66,84786.12
69,41,5.62,74463.33
70,40,5.57,77155.90
71,39,5.52,83883.40
72,38,5.47,77951.73
73,37,5.42,72264.14
74,36,5.37,76372.08
75,35,5.31,80835.82
76,34,5.26,76762.50
77,33,5.20,73351.65
78,32,5.14,78759.85
79,31,5.08,79168.60
80,30,5.02,77155.90
81,29,4.95,79995.71
82,28,4.89,72624.00
83,27,4.82,79168.60
84,26,4.75,77155.90
85,25,4.68,75600.00
86,24,4.61,77155.90
87,23,4.53,75218.29
88,22,4.46,82121.11
89,21,4.38,75600.00
90,20,4.31,87108.76
91,19,4.23,82995.18
92,18,4.15,86168.19
93,17,4.07,81689.28
94,16,3.99,85243.03
95,15,3.90,90026.93
96,14,3.82,91033.20
97,13,3.73,99754.17
98,12,3.64,96893.21
99,11,3.56,103989.47
100,10,3.47,103367.14
101,9,3.38,100342.33
102,8,3.29,104617.79
103,7,3.19,103367.14
104,6,3.10,99754.17
105,5,3.01,102140.10
106,4,2.91,113372.31
107,3,2.81,111950.26
108,2,2.72,107192.64
109,1,2.62,109870.50
110,0,2.52,108518.32
111,1,2.42,109870.50
112,2,2.32,104617.79
113,3,2.22,117819.05
114,4,2.12,103367.14
115,5,2.02,116305.76
116,6,1.92,106539.52
117,7,1.81,103367.14
118,8,1.71,107852.21
119,9,1.60,101535.21
120,10,1.50,95237.95
121,11,1.39,93098.69
122,12,1.29,98594.03
123,13,1.18,90026.93
124,14,1.08,90026.93
